transaction_id,user_id,amount,transaction_type,is_new_beneficiary,new_ip_device_combo,otp_burst_flag,phishing_referrer_flag,hour_of_day,is_odd_hour,avg_daily_txn_amount,amount_ratio,txn_frequency_last_24h,previous_fraud_flag,email_domain_age_days,email_domain_verified,is_fraud
T00020,U0150,479.37,PAYMENT,0,0,0,0,19,0,379.60362992821285,1.26,3,0,119,1,0
T00021,U0309,20.58,PAYMENT,0,0,0,0,11,0,275.08233030940363,0.07,4,0,99,1,0
T00022,U0258,197.39,PAYMENT,0,0,0,0,11,0,183.1570702235093,1.08,6,0,285,1,0
T00023,U0344,316.08,PAYMENT,0,0,0,0,2,1,357.363869564847,0.88,6,0,50,1,0
T00024,U0492,80.06,TRANSFER,0,0,0,0,23,1,73.2590392611198,1.09,0,0,139,0,0
T00025,U0414,2088.47,TRANSFER,1,0,0,0,14,0,387.22830601201406,5.39,1,0,200,1,1
T00026,U0294,117.29,TRANSFER,0,0,0,0,10,0,224.5490634443925,0.52,0,0,348,1,0
T00027,U0386,69.83,TRANSFER,0,0,0,0,9,0,178.3654173687169,0.39,3,0,117,1,0
T00028,U0192,113.79,PAYMENT,1,0,0,0,20,0,432.3464471814402,0.26,6,0,293,1,0
T00029,U0444,732.8,CASH_OUT,0,1,0,0,20,0,279.06280600238017,2.63,4,0,106,0,1
T00030,U0277,277.13,TRANSFER,0,0,0,0,22,0,386.9884023515171,0.72,1,1,99,1,0
T00031,U0161,416.68,TRANSFER,0,0,0,0,20,0,466.8921627097344,0.89,3,0,54,1,0
T00032,U0460,10.62,CASH_OUT,0,0,0,0,22,0,202.22432799054215,0.05,2,0,283,1,0
T00033,U0314,17.52,PAYMENT,0,0,0,0,15,0,52.83921073584344,0.33,5,0,361,0,0
T00034,U0022,295.14,CASH_IN,0,0,0,0,11,0,355.5025668866122,0.83,5,0,335,1,0
T00035,U0253,848.19,CASH_OUT,1,0,0,0,15,0,274.67129742831617,3.09,3,0,20,1,1
T00036,U0236,1082.45,PAYMENT,1,0,0,0,4,1,349.06563782027195,3.1,3,0,74,1,1
T00037,U0345,45.35,TRANSFER,1,0,0,0,17,0,471.91036435469664,0.1,1,0,282,1,1
T00038,U0049,386.49,PAYMENT,0,0,0,0,9,0,109.65307582735088,3.52,0,0,256,1,0
T00039,U0475,1222.25,TRANSFER,0,0,0,0,5,1,241.09321367741143,5.07,3,0,143,1,1
T00040,U0059,245.49,TRANSFER,1,0,0,0,13,0,327.0731057317274,0.75,4,0,281,1,0
T00041,U0170,884.7,TRANSFER,0,0,1,0,13,0,307.96288995409674,2.87,1,0,236,1,0
T00042,U0476,71.76,CASH_OUT,0,0,0,0,8,0,255.5018225951829,0.28,6,0,18,1,0
T00043,U0188,1369.73,PAYMENT,0,0,0,0,15,0,424.3852194086558,3.23,5,0,151,1,0
T00044,U0464,696.0,TRANSFER,0,0,0,0,12,0,50.0,13.92,2,0,229,0,0
T00045,U0271,1417.95,CASH_OUT,0,0,0,0,13,0,140.59149931975088,10.09,1,0,249,1,0
T00046,U0190,564.46,PAYMENT,0,0,0,0,20,0,367.5250710409104,1.54,2,0,46,0,0
T00047,U0446,225.81,PAYMENT,0,0,0,0,10,0,253.2468366554804,0.89,2,0,31,0,0
T00048,U0175,1391.77,TRANSFER,0,0,0,0,1,1,382.6779949677525,3.64,0,0,65,1,1
T00049,U0446,161.18,PAYMENT,0,0,0,0,21,0,463.4615187467061,0.35,3,0,27,1,0
T00050,U0051,201.86,CASH_IN,1,0,0,0,19,0,147.6131146754454,1.37,1,0,143,1,0
T00051,U0364,603.34,TRANSFER,1,0,0,0,19,0,261.0573020210018,2.31,2,0,321,1,0
T00052,U0055,724.76,TRANSFER,0,0,0,0,18,0,172.95534487989278,4.19,5,0,320,1,0
T00053,U0244,1325.39,TRANSFER,0,0,0,0,11,0,367.47361815905566,3.61,3,0,358,0,0
T00054,U0320,114.58,TRANSFER,0,0,0,0,16,0,205.7806527895989,0.56,3,0,225,0,0
T00055,U0131,799.74,PAYMENT,0,0,0,0,8,0,449.2797214826148,1.78,5,0,174,1,0
T00056,U0485,670.75,CASH_OUT,0,0,0,0,21,0,234.83861929697707,2.86,3,0,258,1,0
T00057,U0307,32.96,CASH_IN,0,0,0,0,10,0,227.01840764745964,0.15,3,0,250,1,0
T00058,U0135,244.88,TRANSFER,1,0,0,0,11,0,391.5395688718636,0.63,2,0,36,0,1
T00059,U0021,166.18,PAYMENT,0,0,0,0,2,1,298.751326504664,0.56,2,0,41,0,0
T00060,U0329,181.56,CASH_OUT,0,0,0,0,16,0,385.33917717486594,0.47,4,0,123,0,0
T00061,U0167,2035.71,PAYMENT,0,1,0,0,5,1,173.076315844126,11.76,2,0,11,1,0
T00062,U0274,514.7,PAYMENT,0,0,0,0,3,1,295.4531930232544,1.74,2,0,62,1,0
T00063,U0388,632.35,TRANSFER,0,0,0,0,12,0,430.82044199234247,1.47,3,0,118,1,0
T00064,U0089,1877.89,PAYMENT,0,0,0,0,16,0,297.8100569300348,6.31,5,0,190,0,0
T00065,U0316,236.77,PAYMENT,0,0,0,0,9,0,147.1836869547706,1.61,3,0,321,1,0
T00066,U0014,809.34,CASH_OUT,0,0,1,0,19,0,474.0895048404808,1.71,2,0,143,1,0
T00067,U0242,285.05,CASH_OUT,0,0,0,0,17,0,178.66119544902682,1.6,4,0,2,1,0
T00068,U0265,1018.32,TRANSFER,0,0,0,0,13,0,220.6522806483609,4.62,2,0,66,1,0
T00069,U0346,99.63,TRANSFER,0,0,1,0,15,0,164.53245660269172,0.61,1,0,198,0,0
T00070,U0053,1475.25,CASH_IN,0,0,0,0,18,0,402.1450181983428,3.67,3,0,59,1,0
T00071,U0386,123.44,PAYMENT,0,0,0,0,14,0,587.5789197565739,0.21,1,0,32,1,0
T00072,U0340,197.43,CASH_OUT,0,0,0,0,22,0,280.595639370629,0.7,1,0,265,1,0
T00073,U0092,705.69,TRANSFER,0,0,0,0,22,0,499.5302209995308,1.41,2,0,146,1,0
T00074,U0367,250.24,PAYMENT,0,0,0,0,20,0,518.9179218741713,0.48,2,1,197,1,0
T00075,U0444,468.52,PAYMENT,0,1,0,0,12,0,311.03507192491105,1.51,5,0,254,1,0
T00076,U0455,294.01,CASH_OUT,0,0,0,0,1,1,280.0315432297865,1.05,3,0,247,0,0
T00077,U0428,678.12,TRANSFER,0,0,0,0,8,0,263.9352196707396,2.57,2,0,86,0,0
T00078,U0264,129.6,TRANSFER,0,0,0,0,12,0,315.9051859547529,0.41,3,0,303,1,0
T00079,U0431,30.12,PAYMENT,0,0,0,0,21,0,493.6846403821986,0.06,5,0,315,1,0
T00080,U0035,178.29,CASH_OUT,1,0,0,0,11,0,317.4371609626861,0.56,2,0,67,1,1
T00081,U0206,321.52,CASH_IN,1,0,1,0,0,1,274.4054939898631,1.17,1,0,89,1,0
T00082,U0081,91.97,CASH_IN,0,1,0,0,12,0,297.2167021584392,0.31,2,0,118,1,1
T00083,U0420,219.1,CASH_IN,1,0,0,0,21,0,348.63179915558084,0.63,5,0,303,1,0
T00084,U0050,255.4,TRANSFER,0,0,0,0,7,0,253.8728875392415,1.01,1,0,279,0,0
T00085,U0360,29.55,TRANSFER,1,0,0,1,3,1,271.03556982507394,0.11,1,0,225,1,0
T00086,U0388,437.7,TRANSFER,0,1,0,0,21,0,235.5938338811648,1.86,4,0,356,1,1
T00087,U0002,1078.57,PAYMENT,0,0,0,0,10,0,199.428000301861,5.41,2,0,81,0,0
T00088,U0390,82.29,CASH_OUT,0,0,0,0,23,1,357.7239576270151,0.23,3,0,161,1,0
T00089,U0054,455.41,CASH_OUT,0,0,0,0,5,1,202.36496018351997,2.25,2,0,363,1,0
T00090,U0106,546.42,TRANSFER,0,0,0,0,12,0,293.61011264266034,1.86,4,0,173,1,0
T00091,U0260,271.79,CASH_OUT,0,0,0,0,19,0,266.4615044106744,1.02,2,0,249,1,0
T00092,U0310,603.82,CASH_IN,0,0,0,0,22,0,390.4396520825764,1.55,3,0,325,1,0
T00093,U0477,264.44,PAYMENT,0,0,0,0,4,1,269.8878108612752,0.98,4,0,226,0,1
T00094,U0191,351.23,TRANSFER,1,0,0,0,12,0,358.13605077650334,0.98,2,0,5,1,0
T00095,U0402,3.69,PAYMENT,0,0,0,0,16,0,139.69867925524605,0.03,2,0,317,1,0
T00096,U0218,588.37,PAYMENT,0,0,0,0,18,0,419.4867390249013,1.4,2,0,336,1,0
T00097,U0044,541.38,PAYMENT,0,0,0,0,18,0,355.6117705632062,1.52,6,0,7,1,0
T00098,U0162,19.58,PAYMENT,0,0,0,0,0,1,429.0964948772523,0.05,1,0,49,1,0
T00099,U0202,229.63,TRANSFER,0,0,1,0,3,1,328.3746765235761,0.7,3,0,257,1,0
T00100,U0446,1932.38,CASH_IN,0,0,0,0,1,1,324.02581684309166,5.96,3,0,14,1,0
T00101,U0484,273.0,PAYMENT,1,0,0,0,11,0,252.56191130084875,1.08,5,0,169,1,0
T00102,U0270,348.52,PAYMENT,0,0,0,0,0,1,324.4519350747081,1.07,1,0,101,1,0
T00103,U0351,1203.58,CASH_IN,0,0,1,0,11,0,187.7232393301586,6.41,3,0,114,1,0
T00104,U0304,631.62,TRANSFER,0,0,0,0,12,0,219.145575459812,2.88,3,0,69,1,0
T00105,U0271,436.22,TRANSFER,0,0,0,0,5,1,231.70883495918352,1.88,2,0,47,1,0
T00106,U0456,799.26,CASH_OUT,0,0,0,0,6,0,265.9330839802868,3.01,0,0,37,0,0
T00107,U0462,998.9,TRANSFER,0,0,0,0,19,0,50.0,19.98,5,0,149,1,0
T00108,U0215,305.22,CASH_OUT,0,0,0,0,4,1,184.8496814101179,1.65,4,0,34,1,0
T00109,U0252,322.28,TRANSFER,0,0,0,0,8,0,145.4107345253365,2.22,0,0,97,1,0
T00110,U0190,243.92,TRANSFER,0,0,0,0,12,0,455.1031632059516,0.54,1,0,215,1,0
T00111,U0296,1701.19,PAYMENT,1,0,0,0,13,0,189.86862331271172,8.96,2,0,346,1,0
T00112,U0213,597.29,TRANSFER,0,0,0,1,7,0,203.96276417429897,2.93,3,0,161,1,0
T00113,U0208,43.45,CASH_OUT,0,0,0,0,15,0,287.4472448132796,0.15,3,0,227,0,0
T00114,U0237,993.74,CASH_OUT,0,0,0,0,13,0,318.41437551588984,3.12,4,0,234,1,0
T00115,U0338,327.5,CASH_IN,1,0,0,0,17,0,339.6769227420436,0.96,2,0,290,1,1
T00116,U0367,35.62,CASH_OUT,0,0,0,0,9,0,235.6900348833986,0.15,3,0,277,1,0
T00117,U0053,398.94,TRANSFER,1,0,0,0,18,0,282.17508648847604,1.41,1,0,196,1,0
T00118,U0280,269.92,CASH_OUT,0,0,0,1,15,0,448.1618179197175,0.6,3,0,342,1,0
T00119,U0410,1050.84,CASH_OUT,0,0,0,0,8,0,290.9645114503996,3.61,4,0,338,1,0
T00120,U0217,114.07,CASH_OUT,0,1,0,0,20,0,310.1265435393335,0.37,1,0,181,1,0
T00121,U0252,875.69,CASH_OUT,0,0,0,0,0,1,390.4122464023833,2.24,2,1,251,1,0
T00122,U0188,407.87,PAYMENT,0,0,0,0,8,0,377.8276414282068,1.08,0,0,7,1,0
T00123,U0380,28.08,PAYMENT,0,0,0,0,23,1,118.955347377857,0.24,4,0,82,1,0
T00124,U0493,1785.02,CASH_OUT,0,0,0,0,13,0,337.30131151695963,5.29,4,0,223,1,0
T00125,U0041,359.35,TRANSFER,0,0,0,0,6,0,301.5999807608681,1.19,4,0,68,1,0
T00126,U0157,171.86,TRANSFER,0,1,1,0,22,0,468.6409007654296,0.37,3,0,329,1,1
T00127,U0015,316.88,CASH_OUT,0,0,0,0,23,1,191.23630319508032,1.66,2,0,309,0,1
T00128,U0301,975.46,TRANSFER,0,0,1,0,10,0,207.83572506476992,4.69,3,0,360,1,1
T00129,U0065,181.85,TRANSFER,0,0,0,0,19,0,258.1299399431466,0.7,4,0,319,1,0
T00130,U0345,107.02,TRANSFER,0,0,1,0,6,0,378.1459465586374,0.28,1,0,210,1,0
T00131,U0327,69.1,CASH_OUT,0,0,0,0,23,1,415.4280809350361,0.17,3,0,288,1,1
T00132,U0009,176.81,PAYMENT,0,0,0,0,9,0,268.43540831548694,0.66,1,0,154,1,0
T00133,U0344,757.17,CASH_OUT,0,0,0,0,18,0,362.78750612455775,2.09,4,0,52,1,0
T00134,U0129,318.98,PAYMENT,0,0,0,0,1,1,238.22987426363977,1.34,6,0,45,1,0
T00135,U0492,129.05,PAYMENT,1,0,0,0,1,1,295.70085418692634,0.44,2,0,113,1,0
T00136,U0136,90.87,PAYMENT,0,0,0,0,22,0,347.7259422073016,0.26,3,0,258,1,0
T00137,U0472,202.28,CASH_OUT,0,1,0,0,15,0,490.92654798953686,0.41,1,0,162,1,0
T00138,U0063,1406.08,PAYMENT,0,1,0,0,11,0,401.7965557352748,3.5,1,0,106,1,0
T00139,U0139,210.06,CASH_IN,0,0,0,0,7,0,416.5159007472384,0.5,5,0,83,1,0
T00140,U0499,2216.62,CASH_IN,0,0,0,0,9,0,270.4558433558126,8.2,3,0,362,1,1
T00141,U0081,332.02,CASH_OUT,0,0,0,0,22,0,126.9423767605521,2.62,5,0,34,0,0
T00142,U0392,98.72,CASH_IN,0,0,0,0,14,0,529.1574590778101,0.19,1,0,102,1,0
T00143,U0163,1108.85,PAYMENT,0,1,0,0,15,0,135.9342632446144,8.16,6,0,358,1,1
T00144,U0419,308.42,PAYMENT,0,0,0,0,3,1,257.6231504773721,1.2,1,0,96,1,0
T00145,U0289,618.37,CASH_OUT,0,0,0,0,22,0,282.4830803727276,2.19,4,0,280,1,0
T00146,U0379,2058.65,CASH_OUT,0,0,0,0,4,1,426.6959185248144,4.82,9,0,281,1,0
T00147,U0261,25.74,CASH_OUT,0,0,0,0,16,0,415.40088753884993,0.06,2,0,345,1,0
T00148,U0490,50.85,CASH_OUT,0,0,0,0,9,0,238.3929266494289,0.21,1,0,39,1,0
T00149,U0231,637.3,CASH_IN,0,0,0,0,3,1,319.4827030813468,1.99,4,0,221,1,0
T00150,U0041,165.52,PAYMENT,0,0,0,0,0,1,227.4820843723811,0.73,0,0,33,1,0
T00151,U0028,101.86,CASH_OUT,0,0,0,0,0,1,220.45651838066584,0.46,5,0,27,1,0
T00152,U0135,20.08,CASH_OUT,0,0,0,0,6,0,370.7829342529816,0.05,1,0,283,0,0
T00153,U0201,11.04,CASH_OUT,0,0,0,0,2,1,156.5299946828048,0.07,5,1,226,0,0
T00154,U0328,744.69,PAYMENT,0,1,0,0,15,0,322.2366897844984,2.31,1,0,116,1,0
T00155,U0268,72.19,CASH_OUT,0,0,0,0,15,0,235.58322061394577,0.31,6,0,244,1,0
T00156,U0418,315.29,CASH_IN,1,1,0,0,14,0,82.85485647165385,3.81,4,0,59,1,1
T00157,U0033,465.57,TRANSFER,0,1,0,0,22,0,278.17173391808177,1.67,3,0,297,0,0
T00158,U0048,279.62,CASH_OUT,0,0,0,0,10,0,397.1429878987251,0.7,4,0,10,0,0
T00159,U0407,13.74,PAYMENT,0,0,0,0,21,0,327.09978910382347,0.04,3,0,101,0,0
T00160,U0062,765.09,CASH_IN,0,0,0,0,17,0,179.94603750867424,4.25,3,1,192,0,0
T00161,U0216,5.28,PAYMENT,0,0,0,0,20,0,315.34724501434664,0.02,5,0,49,0,0
T00162,U0293,717.51,TRANSFER,1,0,0,0,23,1,127.0553023156113,5.65,5,0,118,0,1
T00163,U0099,1118.89,PAYMENT,0,1,0,0,19,0,515.5985549448019,2.17,4,0,197,1,1
T00164,U0172,283.56,CASH_OUT,0,0,0,0,7,0,313.4092629122646,0.9,2,0,336,0,0
T00165,U0360,383.44,TRANSFER,0,0,0,0,23,1,363.2683563843747,1.06,4,0,165,1,1
T00166,U0214,324.07,CASH_OUT,0,1,0,0,5,1,443.4896581641365,0.73,2,0,349,1,1
T00167,U0475,246.5,CASH_IN,1,0,0,0,17,0,315.7530962001373,0.78,1,0,288,1,0
T00168,U0035,1092.07,CASH_OUT,0,0,0,0,7,0,314.26232562513235,3.48,7,0,109,1,0
T00169,U0449,1121.84,TRANSFER,0,0,0,0,19,0,211.86158102193056,5.3,1,0,290,0,0
T00170,U0227,204.6,CASH_IN,1,0,0,0,16,0,89.72321746990954,2.28,1,0,347,1,1
T00171,U0101,477.35,CASH_OUT,0,0,0,0,4,1,227.33652527535463,2.1,6,0,242,1,0
T00172,U0431,1308.02,TRANSFER,0,0,0,0,2,1,314.37644401487614,4.16,8,0,190,0,1
T00173,U0462,1635.85,TRANSFER,1,0,0,0,18,0,308.9907846599827,5.29,0,0,116,1,0
T00174,U0131,355.61,TRANSFER,0,0,1,0,6,0,326.4413310481635,1.09,3,0,275,1,1
T00175,U0257,301.49,CASH_OUT,0,0,0,0,11,0,178.71499352254207,1.69,0,0,48,1,0
T00176,U0005,163.35,TRANSFER,0,0,0,0,0,1,231.72495601713,0.7,3,0,241,1,0
T00177,U0218,1595.53,TRANSFER,0,0,0,0,2,1,392.6300041692336,4.06,2,1,178,0,1
T00178,U0255,77.05,CASH_OUT,0,0,0,0,9,0,319.3899217977969,0.24,3,0,306,1,0
T00179,U0398,433.55,PAYMENT,0,0,0,0,5,1,161.0537635979281,2.69,2,0,151,1,0
T00180,U0359,166.03,CASH_OUT,0,0,0,0,15,0,413.6667706732264,0.4,3,0,61,1,0
T00181,U0283,163.56,CASH_OUT,0,0,0,0,13,0,460.1464443534872,0.36,3,0,228,0,0
T00182,U0393,259.57,TRANSFER,0,0,0,0,7,0,204.22213779450755,1.27,2,0,67,1,0
T00183,U0207,3359.78,CASH_OUT,0,1,0,0,5,1,296.0745960432542,11.35,3,0,5,1,1
T00184,U0015,28.27,TRANSFER,0,0,0,0,10,0,277.6806398914744,0.1,5,0,334,1,0
T00185,U0346,432.02,PAYMENT,0,0,0,0,3,1,186.63790841823533,2.31,6,0,319,1,0
T00186,U0042,43.09,CASH_OUT,0,0,0,0,7,0,296.4496686013586,0.15,1,0,340,1,0
T00187,U0380,83.93,TRANSFER,0,0,0,0,4,1,337.74739597774897,0.25,4,0,271,1,0
T00188,U0461,289.52,CASH_IN,0,0,0,0,9,0,321.41841402130046,0.9,3,0,283,1,0
T00189,U0179,357.14,PAYMENT,0,0,0,0,21,0,500.58384157282217,0.71,4,0,163,0,0
T00190,U0063,149.74,TRANSFER,0,0,0,0,11,0,201.4131530206526,0.74,7,0,276,1,0
T00191,U0352,190.23,CASH_IN,0,0,0,0,16,0,186.76711777753465,1.02,3,0,91,0,0
T00192,U0231,45.49,PAYMENT,0,0,0,0,19,0,409.108052042121,0.11,4,0,174,1,0
T00193,U0241,180.64,CASH_OUT,1,0,1,0,10,0,396.2992277878848,0.46,7,0,241,1,0
T00194,U0052,1698.98,PAYMENT,0,0,0,0,19,0,85.59000880459683,19.85,3,0,234,0,0
T00195,U0096,1447.56,CASH_OUT,0,0,0,0,11,0,212.3112649364807,6.82,3,0,95,1,0
T00196,U0388,203.89,TRANSFER,0,0,0,0,20,0,120.98409934633423,1.69,2,0,124,1,0
T00197,U0222,422.98,TRANSFER,0,0,0,0,11,0,400.51944525757887,1.06,3,0,77,1,0
T00198,U0485,1201.73,PAYMENT,0,0,0,0,16,0,393.5150998411529,3.05,2,0,56,1,0
T00199,U0407,3.1,TRANSFER,1,0,0,0,19,0,294.57189845897744,0.01,1,0,150,1,0
T00200,U0231,832.17,CASH_OUT,0,0,0,0,22,0,412.3587331339813,2.02,6,0,344,1,0
T00201,U0237,1481.82,PAYMENT,1,1,0,0,21,0,367.5868343379863,4.03,4,0,352,1,1
T00202,U0143,47.88,TRANSFER,0,0,0,0,4,1,337.3767238436465,0.14,4,0,296,1,0
T00203,U0171,88.04,TRANSFER,1,0,0,0,16,0,249.15448849836037,0.35,3,1,7,1,0
T00204,U0029,1618.85,CASH_OUT,0,0,0,0,23,1,155.86546299650237,10.39,0,0,308,1,1
T00205,U0036,385.6,CASH_OUT,0,0,0,0,4,1,271.7018874639814,1.42,3,0,53,1,1
T00206,U0013,7.15,PAYMENT,0,0,0,0,12,0,298.3839020966814,0.02,5,0,274,1,0
T00207,U0160,148.96,PAYMENT,0,0,0,0,13,0,356.1556781229573,0.42,1,0,271,1,0
T00208,U0327,298.87,TRANSFER,0,0,0,0,7,0,319.6819512270047,0.93,2,0,283,1,0
T00209,U0187,590.31,CASH_OUT,0,0,0,0,13,0,294.5941839627503,2.0,4,0,357,0,0
T00210,U0243,660.55,TRANSFER,0,0,0,0,5,1,327.509430306342,2.02,1,0,253,1,0
T00211,U0086,2693.19,PAYMENT,1,0,0,0,6,0,198.74577244109497,13.55,1,0,59,1,1
T00212,U0284,169.5,CASH_OUT,0,0,0,0,9,0,248.1683650279788,0.68,6,0,58,1,0
T00213,U0066,386.33,CASH_IN,1,0,0,0,16,0,382.2060187730012,1.01,1,0,202,1,0
T00214,U0170,381.06,PAYMENT,0,0,1,0,5,1,256.0005080575046,1.49,6,0,26,1,1
T00215,U0045,260.14,CASH_OUT,0,0,0,0,2,1,273.79680767013883,0.95,3,0,79,1,0
T00216,U0062,92.66,PAYMENT,0,0,0,0,18,0,352.41340981623625,0.26,2,0,317,1,0
T00217,U0441,1896.16,CASH_IN,0,1,0,0,18,0,224.23831869454128,8.46,4,1,79,1,1
T00218,U0134,959.74,PAYMENT,0,0,0,0,21,0,251.637830107095,3.81,2,0,206,0,0
T00219,U0284,344.91,PAYMENT,0,0,0,0,23,1,124.637381694559,2.77,1,0,202,1,1
T00220,U0028,462.22,CASH_OUT,0,0,0,0,2,1,408.4721007793525,1.13,4,0,225,1,0
T00221,U0108,128.91,TRANSFER,0,1,0,1,2,1,425.15593090024623,0.3,2,0,45,1,0
T00222,U0044,392.4,TRANSFER,0,0,0,0,4,1,393.5583045407053,1.0,0,0,209,1,0
T00223,U0340,593.67,TRANSFER,1,0,0,0,5,1,317.2049339477208,1.87,4,0,272,0,0
T00224,U0286,361.98,CASH_OUT,0,0,0,0,5,1,182.32945285710065,1.99,3,0,11,1,0
T00225,U0446,2317.05,TRANSFER,0,0,0,0,22,0,251.60865140235387,9.21,7,0,249,1,0
T00226,U0331,472.53,CASH_OUT,1,0,0,0,22,0,211.5025748278933,2.23,1,0,176,0,1
T00227,U0128,231.79,PAYMENT,0,0,0,0,12,0,219.07374169322415,1.06,3,0,350,0,0
T00228,U0348,739.54,TRANSFER,0,0,0,0,18,0,261.2056284224096,2.83,5,0,140,1,0
T00229,U0473,93.44,PAYMENT,1,0,0,0,4,1,256.6145526890368,0.36,2,0,184,1,0
T00230,U0231,242.67,TRANSFER,0,0,0,0,0,1,406.8190188645745,0.6,0,0,336,0,0
T00231,U0190,213.06,CASH_OUT,0,0,0,0,16,0,303.99766753868334,0.7,2,0,55,1,0
T00232,U0225,282.65,CASH_OUT,0,0,0,0,1,1,434.43470694905193,0.65,3,0,226,0,1
T00233,U0385,761.13,PAYMENT,0,0,0,0,11,0,227.4738085161868,3.35,2,0,101,1,0
T00234,U0377,330.99,TRANSFER,0,0,0,0,17,0,336.8007016665565,0.98,2,1,343,1,0
T00235,U0283,789.97,CASH_OUT,1,1,0,0,6,0,276.9290968206789,2.85,3,0,124,1,0
T00236,U0446,429.59,CASH_OUT,1,0,0,1,4,1,349.863452108991,1.23,6,0,112,1,1
T00237,U0121,209.33,CASH_OUT,1,0,0,0,18,0,383.6808785002456,0.55,2,0,298,0,0
T00238,U0116,830.31,CASH_OUT,0,1,0,1,15,0,413.3071117188514,2.01,2,0,268,1,1
T00239,U0461,136.09,TRANSFER,0,0,0,0,22,0,264.06923413396134,0.52,0,0,291,1,0
T00240,U0233,127.05,CASH_OUT,0,0,0,0,11,0,299.16825340564804,0.42,1,0,30,1,0
T00241,U0259,351.1,PAYMENT,1,0,0,0,18,0,392.6103926233369,0.89,2,0,224,1,0
T00242,U0359,151.13,TRANSFER,0,0,0,0,18,0,488.9494184849766,0.31,5,0,130,1,0
T00243,U0198,4.56,CASH_OUT,0,0,0,0,19,0,308.13520289478964,0.01,2,0,354,1,0
T00244,U0456,522.48,CASH_IN,0,1,0,0,20,0,281.9960428282467,1.85,6,0,291,1,0
T00245,U0411,357.79,CASH_OUT,0,0,0,0,14,0,289.1187489537937,1.24,5,1,342,1,0
T00246,U0137,294.86,TRANSFER,0,0,0,0,23,1,101.38959771950948,2.91,5,0,255,1,0
T00247,U0318,1705.15,TRANSFER,0,0,0,0,8,0,331.71754509152754,5.14,4,0,45,1,0
T00248,U0165,423.38,PAYMENT,0,0,0,0,20,0,236.48414357977745,1.79,2,0,106,1,0
T00249,U0225,995.46,CASH_OUT,1,0,0,0,7,0,187.62769641315083,5.31,1,0,305,1,1
T00250,U0307,75.09,TRANSFER,0,1,0,0,18,0,356.5200888084236,0.21,2,0,220,1,0
T00251,U0234,421.06,CASH_OUT,0,1,0,0,6,0,292.1810074925579,1.44,4,0,182,1,0
T00252,U0172,1012.4,TRANSFER,0,1,0,0,18,0,387.017405735432,2.62,3,0,98,1,1
T00253,U0152,437.46,CASH_OUT,1,0,0,0,11,0,296.8918333595571,1.47,5,0,19,1,0
T00254,U0463,632.95,CASH_IN,0,0,0,0,2,1,179.28360792781325,3.53,3,0,353,1,0
T00255,U0315,232.64,PAYMENT,0,0,0,0,3,1,316.3297665980768,0.74,1,0,164,0,0
T00256,U0374,48.5,PAYMENT,0,0,1,0,1,1,107.60665331464224,0.45,4,0,19,1,1
